UNIQUE KEY,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,PERSONS INJURED,PERSONS KILLED,PEDESTRIANS INJURED,PEDESTRIANS KILLED,CYCLISTS INJURED,CYCLISTS KILLED,MOTORISTS INJURED,MOTORISTS KILLED,VEHICLE 1 TYPE,VEHICLE 2 TYPE,VEHICLE 3 TYPE,VEHICLE 4 TYPE,VEHICLE 5 TYPE,VEHICLE 1 FACTOR,VEHICLE 2 FACTOR,VEHICLE 3 FACTOR,VEHICLE 4 FACTOR,VEHICLE 5 FACTOR
3501456,8/16/2016,13:08,MANHATTAN,10011,,,,WEST 16 STREET,9 AVENUE,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES),,,,UNSPECIFIED,UNSPECIFIED,,,
3158336,1/24/2015,6:53,,,40.8778697,-73.8700947,"(40.8778697, -73.8700947)",,,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,,,,,UNSPECIFIED,,,,
3212649,4/30/2015,6:30,QUEENS,11379,40.7161797,-73.8850489,"(40.7161797, -73.8850489)",PENELOPE AVENUE,70 STREET,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,UNKNOWN,,,,UNSPECIFIED,UNSPECIFIED,,,
3295923,9/12/2015,21:15,QUEENS,11434,40.6666971,-73.7671284,"(40.6666971, -73.7671284)",SOUTH CONDUIT AVENUE,FARMERS BOULEVARD,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3152730,1/14/2015,8:10,,,40.8751407,-73.8712197,"(40.8751407, -73.8712197)",,,,0,0,0,0,0,0,0,0,OTHER,OTHER,,,,UNSPECIFIED,UNSPECIFIED,,,
3417028,3/18/2016,15:50,BROOKLYN,11236,40.6340985,-73.8892219,"(40.6340985, -73.8892219)",,,9718 SEAVIEW AVENUE,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3500073,8/13/2016,2:08,BRONX,10455,,,,,,681       KELLY STREET,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3432912,4/30/2016,22:30,,,,,,BELT PKWY,ERSKINE STREET,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3588911,12/29/2016,13:20,,,40.73447,-73.86316,"(40.73447, -73.86316)",,,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,,,,,UNSAFE LANE CHANGING,UNSPECIFIED,,,
3260466,7/18/2015,22:15,BRONX,10468,40.859349,-73.9011597,"(40.859349, -73.9011597)",FIELD PLACE,MORRIS AVENUE,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,,,
3425938,4/19/2016,19:30,QUEENS,11104,40.7439184,-73.9251853,"(40.7439184, -73.9251853)",39 PLACE,QUEENS BLVD,,1,0,0,0,0,0,1,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,DRIVER INATTENTION/DISTRACTION,DRIVER INATTENTION/DISTRACTION,,,
3495515,8/8/2016,7:08,BRONX,10459,,,,EAST 167 STREET,SIMPSON STREET,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,,,,,UNSPECIFIED,UNSPECIFIED,,,
3244396,6/22/2015,13:45,BROOKLYN,11201,40.6949617,-73.987162,"(40.6949617, -73.987162)",JAY STREET,JOHNSON STREET,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,,,
3382212,11/11/2015,16:13,BROOKLYN,11233,40.6805922,-73.9148296,"(40.6805922, -73.9148296)",,,263 SUMPTER STREET,1,0,1,0,0,0,0,0,PASSENGER VEHICLE,,,,,UNSPECIFIED,,,,
3601773,1/20/2017,17:40,QUEENS,11366,40.730194,-73.784775,"(40.730194, -73.784775)",,,75-59     185 STREET,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,SPORT UTILITY/STATION WAGON,,,,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,,,
3460754,6/10/2016,17:00,,,,,,VANWYCK EXPRESSWAY,ATLANTIC AVENUE,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,,,,,UNSPECIFIED,UNSPECIFIED,,,
3191787,3/25/2015,10:30,,,40.7159837,-73.9757836,"(40.7159837, -73.9757836)",,,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,FAILURE TO YIELD RIGHT-OF-WAY,UNSPECIFIED,,,
3296930,9/10/2015,16:00,BROOKLYN,11234,40.635306,-73.9266726,"(40.635306, -73.9266726)",EAST 52 STREET,GLENWOOD ROAD,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,PASSENGER VEHICLE,,,,LOST CONSCIOUSNESS,UNSPECIFIED,,,
3511629,8/28/2016,20:08,,,,,,SHORE BOULEVARD,,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3421987,4/11/2016,16:25,QUEENS,11694,40.5860907,-73.8225195,"(40.5860907, -73.8225195)",BEACH 100 STREET,BEACH CHANNEL DRIVE,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
